Voltage Amplitude:  5  Volts
Voltage Frequency:  1  Hz
Phase Difference:  90.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000     0.000141244     0.301087788     5.000000000
    0.001000     0.000141244     0.301087788     0.000538854     0.463581366     5.000000000
    0.002000     0.000538854     0.463581366     0.001033714     0.515485176     5.000000000
    0.003000     0.001033714     0.515485176     0.001558119     0.529828127     5.000000000
    0.004000     0.001558119     0.529828127     0.002089479     0.531766860     5.000000000
    0.005000     0.002089479     0.531766860     0.002620347     0.529629117     5.000000000
    0.006000     0.002620347     0.529629117     0.003148285     0.526166259     5.000000000
    0.007000     0.003148285     0.526166259     0.003672510     0.522287090     5.000000000
    0.008000     0.003672510     0.522287090     0.004192783     0.518291684     5.000000000
    0.009000     0.004192783     0.518291684     0.004709048     0.514279009     5.000000000
    0.010000     0.004709048     0.514279009     0.005221306     0.510281599     5.000000000
    0.011000     0.005221306     0.510281599     0.005729580     0.506310037     5.000000000
    0.012000     0.005729580     0.506310037     0.006233897     0.502367658     5.000000000
    0.013000     0.006233897     0.502367658     0.006734286     0.498455403     5.000000000
    0.014000     0.006734286     0.498455403     0.007230779     0.494573423     5.000000000
    0.015000     0.007230779     0.494573423     0.007723404     0.490721610     5.000000000
    0.016000     0.007723404     0.490721610     0.008212193     0.486899772     5.000000000
    0.017000     0.008212193     0.486899772     0.008697176     0.483107689     5.000000000
    0.018000     0.008697176     0.483107689     0.009178381     0.479345133     5.000000000
    0.019000     0.009178381     0.479345133     0.009655838     0.475611877     5.000000000
    0.020000     0.009655838     0.475611877     0.010129577     0.471907694     5.000000000
    0.021000     0.010129577     0.471907694     0.010599626     0.468232356     5.000000000
    0.022000     0.010599626     0.468232356     0.011066015     0.464585639     5.000000000
    0.023000     0.011066015     0.464585639     0.011528771     0.460967320     5.000000000
    0.024000     0.011528771     0.460967320     0.011987923     0.457377179     5.000000000
    0.025000     0.011987923     0.457377179     0.012443499     0.453814996     5.000000000
    0.026000     0.012443499     0.453814996     0.012895527     0.450280553     5.000000000
    0.027000     0.012895527     0.450280553     0.013344034     0.446773635     5.000000000
    0.028000     0.013344034     0.446773635     0.013789048     0.443294026     5.000000000
    0.029000     0.013789048     0.443294026     0.014230596     0.439841515     5.000000000
    0.030000     0.014230596     0.439841515     0.014668706     0.436415890     5.000000000
    0.031000     0.014668706     0.436415890     0.015103403     0.433016942     5.000000000
    0.032000     0.015103403     0.433016942     0.015534714     0.429644464     5.000000000
    0.033000     0.015534714     0.429644464     0.015962667     0.426298249     5.000000000
    0.034000     0.015962667     0.426298249     0.016387286     0.422978092     5.000000000
    0.035000     0.016387286     0.422978092     0.016808599     0.419683792     5.000000000
    0.036000     0.016808599     0.419683792     0.017226630     0.416415146     5.000000000
    0.037000     0.017226630     0.416415146     0.017641405     0.413171955     5.000000000
    0.038000     0.017641405     0.413171955     0.018052950     0.409954020     5.000000000
    0.039000     0.018052950     0.409954020     0.018461289     0.406761146     5.000000000
    0.040000     0.018461289     0.406761146     0.018866448     0.403593136     5.000000000
    0.041000     0.018866448     0.403593136     0.019268452     0.400449798     5.000000000
    0.042000     0.019268452     0.400449798     0.019667325     0.397330939     5.000000000
    0.043000     0.019667325     0.397330939     0.020063091     0.394236368     5.000000000
    0.044000     0.020063091     0.394236368     0.020455775     0.391165897     5.000000000
    0.045000     0.020455775     0.391165897     0.020845400     0.388119337     5.000000000
    0.046000     0.020845400     0.388119337     0.021231991     0.385096504     5.000000000
    0.047000     0.021231991     0.385096504     0.021615571     0.382097211     5.000000000
    0.048000     0.021615571     0.382097211     0.021996163     0.379121276     5.000000000
    0.049000     0.021996163     0.379121276     0.022373792     0.376168516     5.000000000
    0.050000     0.022373792     0.376168516     0.022748479     0.373238752     5.000000000
    0.051000     0.022748479     0.373238752     0.023120247     0.370331804     5.000000000
    0.052000     0.023120247     0.370331804     0.023489121     0.367447494     5.000000000
    0.053000     0.023489121     0.367447494     0.023855121     0.364585647     5.000000000
    0.054000     0.023855121     0.364585647     0.024218271     0.361746088     5.000000000
    0.055000     0.024218271     0.361746088     0.024578592     0.358928642     5.000000000
    0.056000     0.024578592     0.358928642     0.024936108     0.356133137     5.000000000
    0.057000     0.024936108     0.356133137     0.025290838     0.353359404     5.000000000
    0.058000     0.025290838     0.353359404     0.025642806     0.350607272     5.000000000
    0.059000     0.025642806     0.350607272     0.025992032     0.347876573     5.000000000
    0.060000     0.025992032     0.347876573     0.026338539     0.345167140     5.000000000
    0.061000     0.026338539     0.345167140     0.026682347     0.342478808     5.000000000
    0.062000     0.026682347     0.342478808     0.027023477     0.339811412     5.000000000
    0.063000     0.027023477     0.339811412     0.027361950     0.337164790     5.000000000
    0.064000     0.027361950     0.337164790     0.027697787     0.334538779     5.000000000
    0.065000     0.027697787     0.334538779     0.028031008     0.331933219     5.000000000
    0.066000     0.028031008     0.331933219     0.028361634     0.329347951     5.000000000
    0.067000     0.028361634     0.329347951     0.028689685     0.326782817     5.000000000
    0.068000     0.028689685     0.326782817     0.029015181     0.324237659     5.000000000
    0.069000     0.029015181     0.324237659     0.029338142     0.321712324     5.000000000
    0.070000     0.029338142     0.321712324     0.029658587     0.319206655     5.000000000
    0.071000     0.029658587     0.319206655     0.029976536     0.316720500     5.000000000
    0.072000     0.029976536     0.316720500     0.030292010     0.314253708     5.000000000
    0.073000     0.030292010     0.314253708     0.030605026     0.311806126     5.000000000
    0.074000     0.030605026     0.311806126     0.030915604     0.309377607     5.000000000
    0.075000     0.030915604     0.309377607     0.031223763     0.306968000     5.000000000
    0.076000     0.031223763     0.306968000     0.031529522     0.304577160     5.000000000
    0.077000     0.031529522     0.304577160     0.031832900     0.302204939     5.000000000
    0.078000     0.031832900     0.302204939     0.032133915     0.299851194     5.000000000
    0.079000     0.032133915     0.299851194     0.032432585     0.297515779     5.000000000
    0.080000     0.032432585     0.297515779     0.032728929     0.295198552     5.000000000
    0.081000     0.032728929     0.295198552     0.033022965     0.292899372     5.000000000
    0.082000     0.033022965     0.292899372     0.033314711     0.290618099     5.000000000
    0.083000     0.033314711     0.290618099     0.033604184     0.288354592     5.000000000
    0.084000     0.033604184     0.288354592     0.033891403     0.286108713     5.000000000
    0.085000     0.033891403     0.286108713     0.034176385     0.283880325     5.000000000
    0.086000     0.034176385     0.283880325     0.034459147     0.281669292     5.000000000
    0.087000     0.034459147     0.281669292     0.034739707     0.279475479     5.000000000
    0.088000     0.034739707     0.279475479     0.035018082     0.277298751     5.000000000
    0.089000     0.035018082     0.277298751     0.035294289     0.275138976     5.000000000
    0.090000     0.035294289     0.275138976     0.035568344     0.272996022     5.000000000
    0.091000     0.035568344     0.272996022     0.035840265     0.270869757     5.000000000
    0.092000     0.035840265     0.270869757     0.036110068     0.268760051     5.000000000
    0.093000     0.036110068     0.268760051     0.036377770     0.266666777     5.000000000
    0.094000     0.036377770     0.266666777     0.036643386     0.264589805     5.000000000
    0.095000     0.036643386     0.264589805     0.036906934     0.262529008     5.000000000
    0.096000     0.036906934     0.262529008     0.037168429     0.260484262     5.000000000
    0.097000     0.037168429     0.260484262     0.037427888     0.258455440     5.000000000
    0.098000     0.037427888     0.258455440     0.037685325     0.256442420     5.000000000
    0.099000     0.037685325     0.256442420     0.037940758     0.254445076     5.000000000
    0.100000     0.037940758     0.254445076     0.038194201     0.252463289     5.000000000
    0.101000     0.038194201     0.252463289     0.038445670     0.250496936     5.000000000
    0.102000     0.038445670     0.250496936     0.038695180     0.248545898     5.000000000
    0.103000     0.038695180     0.248545898     0.038942747     0.246610054     5.000000000
    0.104000     0.038942747     0.246610054     0.039188386     0.244689287     5.000000000
    0.105000     0.039188386     0.244689287     0.039432111     0.242783480     5.000000000
    0.106000     0.039432111     0.242783480     0.039673939     0.240892516     5.000000000
    0.107000     0.039673939     0.240892516     0.039913882     0.239016278     5.000000000
    0.108000     0.039913882     0.239016278     0.040151957     0.237154654     5.000000000
    0.109000     0.040151957     0.237154654     0.040388178     0.235307528     5.000000000
    0.110000     0.040388178     0.235307528     0.040622559     0.233474788     5.000000000
    0.111000     0.040622559     0.233474788     0.040855114     0.231656322     5.000000000
    0.112000     0.040855114     0.231656322     0.041085858     0.229852018     5.000000000
    0.113000     0.041085858     0.229852018     0.041314805     0.228061767     5.000000000
    0.114000     0.041314805     0.228061767     0.041541968     0.226285459     5.000000000
    0.115000     0.041541968     0.226285459     0.041767363     0.224522985     5.000000000
    0.116000     0.041767363     0.224522985     0.041991001     0.222774238     5.000000000
    0.117000     0.041991001     0.222774238     0.042212898     0.221039111     5.000000000
    0.118000     0.042212898     0.221039111     0.042433067     0.219317498     5.000000000
    0.119000     0.042433067     0.219317498     0.042651521     0.217609293     5.000000000
    0.120000     0.042651521     0.217609293     0.042868273     0.215914392     5.000000000
    0.121000     0.042868273     0.215914392     0.043083337     0.214232691     5.000000000
    0.122000     0.043083337     0.214232691     0.043296726     0.212564088     5.000000000
    0.123000     0.043296726     0.212564088     0.043508453     0.210908481     5.000000000
    0.124000     0.043508453     0.210908481     0.043718531     0.209265768     5.000000000
    0.125000     0.043718531     0.209265768     0.043926972     0.207635849     5.000000000
    0.126000     0.043926972     0.207635849     0.044133790     0.206018625     5.000000000
    0.127000     0.044133790     0.206018625     0.044338998     0.204413996     5.000000000
    0.128000     0.044338998     0.204413996     0.044542607     0.202821864     5.000000000
    0.129000     0.044542607     0.202821864     0.044744630     0.201242133     5.000000000
    0.130000     0.044744630     0.201242133     0.044945079     0.199674705     5.000000000
    0.131000     0.044945079     0.199674705     0.045143967     0.198119485     5.000000000
    0.132000     0.045143967     0.198119485     0.045341307     0.196576378     5.000000000
    0.133000     0.045341307     0.196576378     0.045537109     0.195045289     5.000000000
    0.134000     0.045537109     0.195045289     0.045731386     0.193526124     5.000000000
    0.135000     0.045731386     0.193526124     0.045924150     0.192018792     5.000000000
    0.136000     0.045924150     0.192018792     0.046115412     0.190523199     5.000000000
    0.137000     0.046115412     0.190523199     0.046305185     0.189039255     5.000000000
